Date,County,Observed_Cases,date_column_name
2020-03-06,Abbeville,0,2020-03-06
2020-03-07,Abbeville,0,2020-03-07
2020-03-08,Abbeville,0,2020-03-08
2020-03-09,Abbeville,0,2020-03-09
2020-03-10,Abbeville,0,2020-03-10
2020-03-11,Abbeville,0,2020-03-11
2020-03-12,Abbeville,0,2020-03-12
2020-03-13,Abbeville,0,2020-03-13
2020-03-14,Abbeville,0,2020-03-14
2020-03-15,Abbeville,0,2020-03-15
2020-03-16,Abbeville,0,2020-03-16
2020-03-17,Abbeville,0,2020-03-17
2020-03-18,Abbeville,0,2020-03-18
2020-03-19,Abbeville,1,2020-03-19
2020-03-20,Abbeville,0,2020-03-20
2020-03-21,Abbeville,0,2020-03-21
2020-03-22,Abbeville,0,2020-03-22
2020-03-23,Abbeville,0,2020-03-23
2020-03-24,Abbeville,0,2020-03-24
2020-03-25,Abbeville,2,2020-03-25
2020-03-26,Abbeville,0,2020-03-26
2020-03-27,Abbeville,0,2020-03-27
2020-03-28,Abbeville,0,2020-03-28
2020-03-29,Abbeville,0,2020-03-29
2020-03-30,Abbeville,0,2020-03-30
2020-03-31,Abbeville,1,2020-03-31
2020-04-01,Abbeville,0,2020-04-01
2020-04-02,Abbeville,1,2020-04-02
2020-04-03,Abbeville,0,2020-04-03
2020-04-04,Abbeville,0,2020-04-04
2020-04-05,Abbeville,0,2020-04-05
2020-04-06,Abbeville,0,2020-04-06
2020-04-07,Abbeville,0,2020-04-07
2020-04-08,Abbeville,1,2020-04-08
2020-04-09,Abbeville,1,2020-04-09
2020-04-10,Abbeville,0,2020-04-10
2020-04-11,Abbeville,0,2020-04-11
2020-04-12,Abbeville,2,2020-04-12
2020-04-13,Abbeville,0,2020-04-13
2020-04-14,Abbeville,0,2020-04-14
2020-04-15,Abbeville,1,2020-04-15
2020-04-16,Abbeville,0,2020-04-16
2020-04-17,Abbeville,0,2020-04-17
2020-04-18,Abbeville,5,2020-04-18
2020-04-19,Abbeville,2,2020-04-19
2020-04-20,Abbeville,0,2020-04-20
2020-04-21,Abbeville,1,2020-04-21
2020-04-22,Abbeville,4,2020-04-22
2020-04-23,Abbeville,1,2020-04-23
2020-04-24,Abbeville,1,2020-04-24
2020-04-25,Abbeville,0,2020-04-25
2020-04-26,Abbeville,0,2020-04-26
2020-04-27,Abbeville,5,2020-04-27
2020-04-28,Abbeville,0,2020-04-28
2020-04-29,Abbeville,0,2020-04-29
2020-04-30,Abbeville,2,2020-04-30
2020-05-01,Abbeville,0,2020-05-01
2020-05-02,Abbeville,0,2020-05-02
2020-05-03,Abbeville,2,2020-05-03
2020-05-04,Abbeville,0,2020-05-04
2020-05-05,Abbeville,0,2020-05-05
2020-05-06,Abbeville,0,2020-05-06
2020-05-07,Abbeville,1,2020-05-07
2020-05-08,Abbeville,0,2020-05-08
2020-05-09,Abbeville,0,2020-05-09
2020-05-10,Abbeville,0,2020-05-10
2020-05-11,Abbeville,0,2020-05-11
2020-05-12,Abbeville,0,2020-05-12
2020-05-13,Abbeville,0,2020-05-13
2020-05-14,Abbeville,0,2020-05-14
2020-05-15,Abbeville,0,2020-05-15
2020-05-16,Abbeville,0,2020-05-16
2020-05-17,Abbeville,1,2020-05-17
2020-05-18,Abbeville,0,2020-05-18
2020-05-19,Abbeville,0,2020-05-19
2020-05-20,Abbeville,0,2020-05-20
2020-05-21,Abbeville,0,2020-05-21
2020-05-22,Abbeville,0,2020-05-22
2020-05-23,Abbeville,0,2020-05-23
2020-05-24,Abbeville,0,2020-05-24
2020-05-25,Abbeville,0,2020-05-25
2020-05-26,Abbeville,0,2020-05-26
2020-05-27,Abbeville,0,2020-05-27
2020-05-28,Abbeville,2,2020-05-28
2020-05-29,Abbeville,2,2020-05-29
